At timestep 16:-0.000008 -0.000067 -0.000008 0.000009 -0.000000 -0.000006 -0.000000; -0.000111 0.000077 -0.000178 -1.570720 -0.000251 1.570969 0.785163; -0.004743 0.000711 -0.002757 -0.000291 -0.004296 -0.000806 -0.002548
At timestep 17:0.000010 -0.000033 0.000010 0.000003 0.000000 -0.000003 -0.000000; -0.000115 0.000071 -0.000181 -1.570718 -0.000254 1.570971 0.785159; -0.003307 -0.001254 -0.001858 0.000735 -0.003004 -0.000504 -0.002095
At timestep 18:0.000010 -0.000004 0.000010 -0.000001 0.000000 -0.000001 -0.000000; -0.000118 0.000066 -0.000179 -1.570726 -0.000258 1.570971 0.785165; -0.002314 -0.002573 0.000510 -0.002874 -0.006265 -0.000685 -0.000024
At timestep 19:0.000002 -0.000006 0.000003 -0.000004 -0.000000 -0.000002 -0.000000; -0.000118 0.000066 -0.000187 -1.570726 -0.000260 1.570971 0.785158; -0.000789 -0.004146 -0.001435 -0.001863 -0.009372 -0.000438 -0.001597
At timestep 20:0.000007 -0.000005 0.000007 -0.000000 0.000000 -0.000001 -0.000000; -0.000122 0.000068 -0.000190 -1.570728 -0.000264 1.570968 0.785163; -0.000587 -0.003031 -0.000965 -0.002131 -0.007068 0.003316 0.000597
At timestep 21:0.000024 -0.000059 0.000025 0.000007 0.000001 -0.000006 -0.000000; -0.000132 0.000068 -0.000199 -1.570726 -0.000268 1.570970 0.785161; -0.005307 -0.002221 -0.001577 -0.000463 -0.005327 0.002236 -0.000127
At timestep 22:-0.000120 -0.000102 -0.000120 -0.000013 -0.000007 -0.000016 0.000000; -0.000141 0.000073 -0.000198 -1.570728 -0.000269 1.570970 0.785160; -0.008749 0.006140 -0.000128 -0.001214 -0.003674 0.000364 -0.000393
At timestep 23:-0.000056 -0.000110 -0.000055 -0.000000 -0.000004 -0.000014 -0.000000; -0.000142 0.000074 -0.000205 -1.570728 -0.000276 1.570972 0.785162; -0.005387 0.004559 -0.004171 -0.000793 -0.004118 0.000466 0.000218
At timestep 24:-0.000054 -0.000098 -0.000054 0.000005 -0.000003 -0.000011 -0.000000; -0.000148 0.000074 -0.000206 -1.570728 -0.000282 1.570973 0.785159; -0.007081 0.003388 -0.002118 -0.000516 -0.003344 0.000852 -0.000622
At timestep 25:-0.000041 -0.000085 -0.000041 0.000002 -0.000003 -0.000010 -0.000000; -0.000154 0.000077 -0.000215 -1.570728 -0.000287 1.570975 0.785164; -0.005252 0.003449 -0.003375 -0.000335 -0.002424 0.001033 0.001061
At timestep 26:-0.000028 -0.000054 -0.000028 -0.000000 -0.000003 -0.000007 -0.000000; -0.000160 0.000079 -0.000220 -1.570729 -0.000288 1.570977 0.785160; -0.003901 0.003331 -0.002399 -0.001051 -0.005946 0.006162 -0.000559
At timestep 27:-0.000040 -0.000153 -0.000040 0.000018 -0.000004 -0.000015 -0.000001; -0.000169 0.000077 -0.000224 -1.570733 -0.000291 1.570980 0.785165; -0.006960 0.002368 -0.004008 -0.001531 -0.008309 0.005653 0.001110
At timestep 28:-0.000017 -0.000155 -0.000017 0.000022 -0.000003 -0.000015 -0.000001; -0.000170 0.000079 -0.000230 -1.570723 -0.000297 1.570982 0.785162; -0.004197 0.002524 -0.007004 0.001582 -0.010110 0.003740 -0.000250
At timestep 29:-0.000033 -0.000162 -0.000033 0.000020 -0.000003 -0.000017 -0.000001; -0.000181 0.000079 -0.000237 -1.570732 -0.000300 1.570982 0.785157; -0.004926 0.002694 -0.006119 -0.001541 -0.010815 0.002413 -0.000680
